Ver. 2010.09,unit,Town,Lat. ,Long. ,Trees,Beech,Maples,Birches,Ashs,Hemlock,Basswood,Elms,Pines,Hickories,Spruces,Fir,Cedar,Oaks,Chestnut,Ironwoods,Poplars,Tamarack,Cherries,Chamae'is,Nyssa,Juglans ,Buttonwood,Liriodendron ,Magnolia
CT,%,MidtwnCT,41.5455,-72.6775,73,0.04109589,0.02739726,0,0.02739726,0,0,0.068493151,0.01369863,0.068493151,0,0,0,0.602739726,0.095890411,0,0,0,0,0.01369863,0,0,0.01369863,0.01369863,0
RI,%,L Compton,41.5267,-71.163,214,0.051401869,0.028037383,0.014018692,0.009345794,0,0,0,0,0.121495327,0,0,0,0.742990654,0,0.009345794,0,0,0,0,0.009345794,0,0,0,0
CT,%,WalngCT,41.5,-72.8,556,0.03057554,0.050359712,0.012589928,0.039568345,0,0.005395683,0.012589928,0,0.14028777,0,0,0,0.598920863,0.089928058,0.001798561,0,0,0,0,0,0,0,0.008992806,0
CT,%,East Haddam,41.48,-72.4,599,0.001669449,0.013355593,0.015025042,0.011686144,0,0,0,0.003338898,0.183639399,0,0,0,0.624373957,0.130217028,0,0.006677796,0,0,0,0.006677796,0,0,0,0
CT,%,Durham,41.4713,-72.68167,902,0.027716186,0.079822616,0.028824834,0.018847007,0.002217295,0.003325942,0.003325942,0.007760532,0.148558758,0,0,0,0.464523282,0.16962306,0.005543237,0.001108647,0,0,0,0.006651885,0.011086475,0.001108647,0.00443459,0
CT,%,Haddam,41.4612,-72.546,272,0.003676471,0.029411765,0.007352941,0.007352941,0,0.003676471,0,0,0.1875,0,0,0,0.654411765,0.091911765,0.007352941,0.007352941,0,0,0,0,0,0,0,0
RI,%,S Kingston,41.4433,-71.5233,54,0,0.12962963,0.018518519,0.018518519,0,0,0,0.055555556,0.074074074,0,0,0,0.648148148,0.018518519,0,0,0,0.018518519,0,0,0,0.018518519,0,0
RI,%,Westerly,41.44,-71.7067,216,0,0.101851852,0.013888889,0.013888889,0,0,0,0.083333333,0.101851852,0,0,0,0.638888889,0.041666667,0,0.00462963,0,0,0,0,0,0,0,0
CT,%,Stonington,41.4183,-71.8783,849,0.00942285,0.037691402,0.029446408,0.016489988,0,0,0.001177856,0.015312132,0.042402827,0.003533569,0,0,0.806831567,0.035335689,0,0.001177856,0,0,0.001177856,0,0,0,0,0
CT,%,Newtown,41.41,-73.31,278,0.010791367,0.014388489,0.028776978,0.025179856,0,0.003597122,0,0.003597122,0.129496403,0.010791367,0,0,0.64028777,0.107913669,0,0.007194245,0,0,0,0,0.007194245,0,0,0
CT,%,GrotonCT,41.41,-72.03,359,0.011142061,0.033426184,0.038997214,0.016713092,0,0,0.002785515,0.013927577,0.097493036,0,0,0,0.704735376,0.052924791,0.002785515,0,0,0,0,0.002785515,0.002785515,0,0.011142061,0
CT,%,DerbyCT,41.4,-73.1,159,0,0.075471698,0.031446541,0.031446541,0,0,0.006289308,0,0.176100629,0.006289308,0,0,0.540880503,0.119496855,0,0,0,0,0,0,0,0,0.012578616,0
CT,%,N London,41.3722,-72.136,348,0.014367816,0.07183908,0.028735632,0.017241379,0.002873563,0,0,0.011494253,0.129310345,0,0,0,0.632183908,0.060344828,0.002873563,0,0,0,0.002873563,0.00862069,0,0.002873563,0.011494253,0
CT,%,Saybrook,41.366,-72.4587,264,0.003787879,0.053030303,0.015151515,0.011363636,0,0,0,0,0.147727273,0,0,0,0.689393939,0.075757576,0,0,0,0,0,0.003787879,0,0,0,0
CT,%,Lyme,41.3597,-72.279,2916,0.008573388,0.030864198,0.043895748,0.014060357,0.000342936,0.001028807,0.000685871,0,0.172839506,0.002057613,0,0,0.607681756,0.106310014,0,0,0,0.000342936,0,0.004115226,0.001714678,0.001028807,0.002743484,0
CT,%,KilwthCT,41.35,-72.56,4477,0.018762564,0.068125977,0.020326111,0.026803663,0,0.000670092,0.004690641,0,0.116149207,0.000223364,0,0,0.5729283,0.151217333,0.000223364,0,0,0.000446728,0.000446728,0.008041099,0.001786911,0.000223364,0.008264463,0
CT,%,Branford,41.33,-72.78,297,0.060606061,0.04040404,0.04040404,0.047138047,0,0.003367003,0.003367003,0.003367003,0.127946128,0,0,0,0.481481481,0.131313131,0,0,0,0,0.003367003,0.006734007,0.003367003,0.003367003,0.043771044,0
CT,%,New Haven,41.33,-72.94,57,0,0.01754386,0,0.035087719,0,0.035087719,0.035087719,0,0.157894737,0,0,0,0.526315789,0.157894737,0,0,0,0,0,0,0.01754386,0,0,0
CT,%,Ridgefield,41.3092,-73.5082,201,0.009950249,0.054726368,0.034825871,0.044776119,0,0.009950249,0.019900498,0,0.089552239,0.004975124,0,0,0.482587065,0.184079602,0,0.009950249,0,0,0,0,0.029850746,0,0.014925373,0
CT,%,Reading,41.3,-73.39,501,0.005988024,0.035928144,0.047904192,0.035928144,0.001996008,0.007984032,0.00998004,0,0.089820359,0,0,0,0.594810379,0.133732535,0,0.003992016,0,0.00998004,0,0,0.017964072,0.001996008,0,0
CT,%,StratfdCT,41.29,-73.18,75,0,0.053333333,0.053333333,0.04,0,0,0.013333333,0,0.053333333,0,0,0,0.573333333,0.186666667,0.013333333,0,0,0,0,0,0,0,0.013333333,0
CT,%,Fairfield,41.21,-73.31,122,0,0.008130081,0.073170732,0.008130081,0,0,0.008130081,0,0.081300813,0.008130081,0,0,0.650406504,0.130081301,0,0,0,0,0,0,0.008130081,0,0,0
