Ver. 2010.09,,Town,Lat. ,Long. ,Trees,Beech,Maples,Birches,Ashs,Hemlock,Basswood,Elms,Pines,Hickories,Spruces,Fir,Cedar,Oaks,Chestnut,Ironwoods,Poplars,Tamarack,Cherries,Chamae'is,Nyssa,Juglans ,Buttonwood,Liriodendron ,Magnolia,Other
NY,%,Marcellus,42.92,-76.375,145,49.66%,24.83%,1.38%,2.07%,7.59%,2.07%,4.14%,1.38%,0.00%,0.00%,0.00%,0.00%,2.76%,0.00%,2.76%,0.69%,0.00%,0.00%,0.00%,0.00%,0.69%,0.00%,0.00%,0.00%,0.00%
NY,%,Aurelius,42.92,-76.57,135,53.33%,22.22%,2.22%,4.44%,0.00%,8.89%,2.96%,0.00%,0.74%,0.00%,0.00%,0.00%,1.48%,0.74%,2.22%,0.74%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,HLC-T11RI,42.91,-78.16,173,36.42%,26.01%,1.73%,4.62%,0.00%,17.34%,10.98%,0.00%,0.58%,0.00%,0.00%,0.00%,0.00%,0.00%,1.73%,0.00%,0.00%,0.00%,0.00%,0.00%,0.58%,0.00%,0.00%,0.00%,0.00%
NY,%,HLC-T11RIII,42.91,-78.33,146,39.04%,25.34%,1.37%,4.79%,4.11%,12.33%,10.96%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.37%,0.00%,0.00%,0.68%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,HLC-T11RV,42.91,-78.54,265,33.58%,18.87%,2.64%,6.04%,8.68%,10.94%,7.92%,0.75%,1.13%,0.00%,0.00%,1.51%,4.15%,0.00%,1.13%,1.89%,0.00%,0.75%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,Delancy Patent & Glen,42.91,-74.37,110,11.82%,5.45%,3.64%,4.55%,16.36%,4.55%,4.55%,12.73%,3.64%,0.91%,0.00%,0.00%,21.82%,0.00%,2.73%,2.73%,0.00%,0.91%,0.00%,0.00%,0.91%,0.00%,0.00%,0.00%,2.73%
NY,%,Sara Southeast ,42.9,-73.73,88,1.14%,6.82%,0.00%,5.68%,1.14%,5.68%,4.55%,27.27%,5.68%,0.00%,0.00%,0.00%,30.68%,1.14%,7.95%,1.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.14%
NY,%,HLC-T11RVII,42.9,-78.78,358,20.11%,16.48%,3.63%,11.73%,6.42%,7.82%,6.15%,0.56%,4.47%,0.00%,0.00%,0.00%,16.20%,0.84%,1.12%,1.68%,0.56%,0.00%,0.00%,0.00%,0.28%,0.84%,1.12%,0.00%,0.00%
NY,%,Livingston Patent composite,42.9,-74.76,228,43.42%,10.09%,3.07%,5.70%,26.32%,2.19%,1.32%,0.44%,0.00%,0.00%,0.00%,0.00%,3.07%,0.00%,2.19%,1.32%,0.00%,0.44%,0.00%,0.00%,0.44%,0.00%,0.00%,0.00%,0.00%
NY,%,"Kay Schen (Allots 3,4,6,7)",42.89,-74,137,18.98%,12.41%,1.46%,16.06%,6.57%,1.46%,3.65%,8.03%,2.92%,0.00%,0.00%,0.00%,13.14%,0.73%,5.84%,5.84%,0.00%,0.00%,0.00%,0.00%,1.46%,0.00%,0.00%,0.00%,1.46%
NY,%,Scaghaktot (Sachaghitcoke) ,42.89,-73.61,297,0.67%,3.03%,2.02%,0.34%,0.00%,3.03%,2.36%,40.40%,7.41%,0.00%,0.00%,0.00%,30.30%,0.00%,3.03%,1.35%,0.34%,1.68%,0.00%,0.00%,1.68%,2.02%,0.00%,0.00%,0.34%
NY,%,ChenNW (T1-2-5-6 north line),42.88,-75.69,48,64.58%,14.58%,2.08%,2.08%,6.25%,8.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,Morris-River-Reserv-40KE,42.85,-77.84,301,18.27%,17.28%,0.33%,4.65%,0.00%,4.32%,13.95%,1.00%,4.65%,0.00%,0.00%,0.33%,27.24%,0.00%,1.99%,0.33%,0.00%,0.00%,0.00%,0.00%,2.99%,1.33%,0.66%,0.00%,0.66%
NY,%,Geneva vic.,42.85,-77,75,30.67%,12.00%,0.00%,2.67%,2.67%,4.00%,2.67%,5.33%,4.00%,0.00%,0.00%,0.00%,28.00%,0.00%,1.33%,1.33%,1.33%,0.00%,0.00%,0.00%,0.00%,0.00%,4.00%,0.00%,0.00%
NY,%,E/CayugRes,42.84,-76.68,186,26.88%,17.74%,0.00%,8.60%,0.00%,8.06%,2.15%,0.00%,15.59%,0.00%,0.00%,0.00%,17.74%,0.00%,2.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.54%,0.00%,0.54%,0.00%,0.00%
NY,%,Morris-Meridian 40/M  West of Cal Rd.,42.84,-77.95,121,68.60%,14.88%,0.00%,4.96%,0.00%,5.79%,4.13%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.83%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.83%,0.00%,0.00%
